Pre-requisites needed to build each game. (For informational purposes only.)


Game                 Pre-requisites
------------------   --------------
asteroids-classic      ---
asteroids-reloaded     npm
ball-and-wall          npm
checkers               ---
connect4               npm
cube                   npm
duckhunt               npm, ffmpeg
lemmings               ---
lunar-lander           ---
mah                    npm
mario                  ---
memory                 ---
onslaught              python, closure-compiler, pngcrush
orona                  npm, coffeescript
outrun                 ---
pacman                 ---
pool                   npm
racer10k               ---
radius                 ---
simon                  ---
sleeping-beauty        npm
tetris                 npm
